id;MontoCredito;IngresoNeto;CoefCreditoAvaluo;MontoCuota;GradoAcademico;BuenPagador
1;1;1;1;1;1;Si
2;3;1;1;1;1;Si
3;2;1;1;1;1;Si
4;1;2;1;1;1;Si
5;1;1;1;1;1;Si
6;2;1;1;1;1;Si
7;4;1;1;1;1;Si
8;1;2;1;1;1;Si
9;1;2;1;1;1;Si
10;3;2;1;1;1;Si
11;1;1;1;1;1;Si
12;1;2;1;1;1;Si
13;3;1;1;1;1;Si
14;3;1;1;1;1;Si
15;2;1;1;1;1;Si
16;3;1;1;1;1;Si
17;3;1;1;1;1;Si
18;1;1;1;1;1;Si
19;1;1;1;1;1;Si
20;3;1;1;1;1;Si
21;3;1;1;1;1;Si
22;3;1;1;1;1;Si
23;2;1;1;1;1;Si
24;2;1;1;2;1;Si
25;2;1;1;1;1;Si
26;2;1;1;1;1;Si
27;1;1;1;1;1;Si
28;1;1;1;1;1;Si
29;2;2;1;1;1;Si
30;1;2;1;1;1;Si
31;3;2;1;1;1;Si
32;3;1;1;1;1;Si
33;2;2;1;1;1;Si
34;3;1;1;1;1;Si
35;3;1;1;2;1;Si
36;3;2;1;1;1;Si
37;2;1;12;2;1;Si
38;1;1;12;2;1;Si
39;2;1;12;1;1;Si
40;2;2;12;1;1;Si
41;1;2;12;1;1;Si
42;1;2;12;1;1;Si
43;2;1;12;2;1;Si
44;2;1;12;1;1;Si
45;2;1;12;1;1;Si
46;1;1;12;1;1;Si
47;1;2;11;1;2;Si
48;2;2;4;1;2;Si
49;1;1;2;1;2;Si
50;1;1;12;1;2;Si
51;1;1;10;1;2;Si
52;3;1;11;1;2;Si
53;2;2;12;1;2;Si
54;1;1;12;1;2;Si
55;1;1;11;1;2;Si
56;1;2;12;1;2;Si
57;1;2;11;1;2;Si
58;1;1;12;1;1;Si
59;2;2;12;1;1;Si
60;1;2;12;1;1;Si
61;2;2;12;1;1;Si
62;1;2;12;1;1;Si
63;3;2;12;1;1;Si
64;3;2;12;1;1;Si
65;1;1;12;1;1;Si
66;2;1;12;1;1;Si
67;1;1;12;1;1;Si
68;1;2;12;1;1;Si
69;2;2;12;1;1;Si
70;1;2;4;1;2;Si
71;1;2;11;1;2;Si
